,seqnames,start,end,width,strand,gene_id,gene_name
172130,chrI,5047994,5048993,1000,-,172130,phat-2
183714,chrX,4279189,4280188,1000,-,183714,twk-28
177868,chrIV,10046387,10047386,1000,+,177868,T04B2.3
172096,chrI,4792477,4793476,1000,-,172096,zig-7
176429,chrIII,10151757,10152756,1000,+,176429,nac-3
173521,chrII,1437517,1438516,1000,+,173521,Y51H7C.3
186578,chrI,5518567,5519566,1000,-,186578,F59A3.7
174359,chrII,8508915,8509914,1000,-,174359,T13H5.1
184067,chrIV,10227594,10228593,1000,-,184067,F01G10.6
186761,chrX,6782219,6783218,1000,+,186761,H22K11.3
183240,chrIII,4874716,4875715,1000,-,183240,C35D10.12
185270,chrII,8241487,8242486,1000,+,185270,nlp-5
184757,chrX,10176178,10177177,1000,+,184757,ncs-4
191958,chrII,7463571,7464570,1000,-,191958,sro-1
179722,chrV,12582817,12583816,1000,+,179722,E02A10.3
180538,chrX,2293742,2294741,1000,+,180538,T10H10.2
178109,chrIV,11748218,11749217,1000,+,178109,T12A7.6
185135,chrX,17533990,17534989,1000,-,185135,F31A3.3
172834,chrI,9807895,9808894,1000,+,172834,ncx-4
184211,chrX,11310159,11311158,1000,-,184211,F08G12.5
181245,chrX,10406156,10407155,1000,-,181245,gur-3
191699,chrII,13702808,13703807,1000,+,191699,kqt-3
191622,chrV,5324601,5325600,1000,-,191622,ceh-33
