,seqnames,start,end,width,strand,gene_id,gene_name
190681,chrIV,15361062,15361561,500,+,190681,cpna-4
183300,chrV,1498940,1499439,500,+,183300,sru-27
172459,chrI,7207586,7208085,500,-,172459,mlt-2
184530,chrII,13243026,13243525,500,-,184530,F15D4.4
173125,chrI,12551044,12551543,500,+,173125,W02D9.10
189292,chrIV,3300321,3300820,500,+,189292,W08E12.4
177594,chrIV,7979500,7979999,500,+,177594,unc-24
173621,chrII,2769123,2769622,500,-,173621,F08D12.7
178921,chrV,5393001,5393500,500,-,178921,C35A11.4
179404,chrV,10084756,10085255,500,+,179404,R04B5.6
184280,chrV,16162165,16162664,500,+,184280,F10A3.11
188477,chrIV,9784659,9785158,500,-,188477,sre-4
187889,chrV,12905153,12905652,500,-,187889,ttr-28
176803,chrIII,13667703,13668202,500,-,176803,flp-15
183012,chrII,6294121,6294620,500,-,183012,mps-1
173999,chrII,5895651,5896150,500,+,173999,F59G1.4
180443,chrX,924508,925007,500,-,180443,pifk-1
181678,chrX,15943442,15943941,500,+,181678,mec-5
181386,chrX,12256083,12256582,500,+,181386,E01G6.2
191278,chrI,8261533,8262032,500,+,191278,ZK265.7
178811,chrV,4122455,4122954,500,-,178811,phat-5
4363103,chrV,1317898,1318397,500,-,4363103,F16B3.3
187505,chrX,13566368,13566867,500,-,187505,R01E6.2
184715,chrIV,12167728,12168227,500,+,184715,F20B10.3
182091,chrI,7209685,7210184,500,-,182091,C01H6.3
187147,chrV,3200412,3200911,500,-,187147,K08D9.4
181117,chrX,8707813,8708312,500,+,181117,F53A9.3
188802,chrV,15465183,15465682,500,+,188802,pqn-71
183129,chrIV,12924340,12924839,500,-,183129,C32H11.5
172430,chrI,6974261,6974760,500,+,172430,idhg-2
185048,chrII,8599004,8599503,500,+,185048,F28C6.5
176204,chrIII,8588536,8589035,500,-,176204,glr-1
184268,chrIII,8254404,8254903,500,+,184268,F09G8.5
172797,chrI,9593065,9593564,500,-,172797,K07A1.6
185121,chrX,11511279,11511778,500,-,185121,F29G6.2
188309,chrII,7835089,7835588,500,-,188309,cex-2
185748,chrII,10880368,10880867,500,+,185748,lurp-1
177295,chrIV,5204099,5204598,500,+,177295,tni-4
172452,chrI,7139671,7140170,500,-,172452,K10D3.4
3565024,chrV,13345800,13346299,500,+,3565024,twk-43
181754,chrX,17149844,17150343,500,-,181754,T23C6.4
181286,chrX,10959011,10959510,500,+,181286,K09C8.2
180127,chrV,16835088,16835587,500,-,180127,tni-3
179254,chrV,8768397,8768896,500,+,179254,B0507.3
179347,chrV,9608056,9608555,500,+,179347,dop-2
183938,chrIII,8151903,8152402,500,+,183938,D2007.2
185801,chrII,11055201,11055700,500,-,185801,F45E10.2
189159,chrIV,5186555,5187054,500,-,189159,W03F8.6
178627,chrV,1351645,1352144,500,+,178627,glb-33
177362,chrIV,5939202,5939701,500,-,177362,mcu-1
181689,chrX,16128743,16129242,500,-,181689,ZK1073.1
191425,chrIV,11694027,11694526,500,+,191425,ZK792.7
186534,chrIV,6232742,6233241,500,+,186534,F58F9.3
178254,chrIV,13067265,13067764,500,-,178254,col-131
189448,chrV,18776660,18777159,500,-,189448,Y17D7B.4
180111,chrV,16595325,16595824,500,-,180111,cpl-1
182406,chrV,18362467,18362966,500,-,182406,C08E8.1
185844,chrII,8829173,8829672,500,-,185844,F46C5.2
173202,chrI,13325108,13325607,500,+,173202,gcy-35
181031,chrX,7688801,7689300,500,-,181031,C53C9.2
183792,chrV,18826318,18826817,500,+,183792,ncs-5
176986,chrIV,1771702,1772201,500,+,176986,Y41D4A.1
173992,chrII,5841082,5841581,500,-,173992,lec-5
191960,chrV,8183875,8184374,500,+,191960,srp-8
184221,chrX,10160080,10160579,500,+,184221,F09B9.4
187890,chrV,12906716,12907215,500,-,187890,ttr-29
173319,chrI,14630949,14631448,500,-,173319,lev-11
177326,chrIV,5415754,5416253,500,-,177326,spp-7
176881,chrIV,547802,548301,500,+,176881,F56A11.4
182491,chrV,8584505,8585004,500,-,182491,C10B5.3
179785,chrV,12997498,12997997,500,-,179785,far-3
188427,chrV,11486634,11487133,500,+,188427,T11F9.10
187137,chrIV,10685824,10686323,500,-,187137,K08C7.6
184134,chrV,7643423,7643922,500,-,184134,F07C4.11
191515,chrIII,3921932,3922431,500,+,191515,nit-1
175114,chrII,14537485,14537984,500,-,175114,clec-147
189803,chrIV,15175499,15175998,500,-,189803,Y40H7A.4
183891,chrI,4563641,4564140,500,+,183891,pqn-24
175196,chrIII,381298,381797,500,-,175196,gsto-3
178786,chrV,3685706,3686205,500,-,178786,W08A12.2
182920,chrX,1249736,1250235,500,-,182920,C25G6.4
183765,chrII,5271259,5271758,500,-,183765,drn-1
178256,chrIV,13086483,13086982,500,+,178256,spin-2
187933,chrII,8737474,8737973,500,-,187933,T01B7.8
177372,chrIV,6093606,6094105,500,-,177372,cpi-1
181191,chrX,9789135,9789634,500,-,181191,F36G3.1
192066,chrX,6995927,6996426,500,-,192066,tsp-16
182147,chrX,6363960,6364459,500,+,182147,C03B1.4
173138,chrI,12678701,12679200,500,+,173138,ndx-1
178093,chrIV,11648763,11649262,500,-,178093,ZK809.8
171962,chrI,3853356,3853855,500,+,171962,T03F1.11
180933,chrX,6618485,6618984,500,+,180933,kqt-1
176774,chrIII,13466195,13466694,500,-,176774,cdk-5
190105,chrV,14729142,14729641,500,+,190105,oig-3
181711,chrX,16445746,16446245,500,+,181711,F38E9.5
185535,chrX,14701293,14701792,500,+,185535,F40E10.5
180946,chrX,6789489,6789988,500,-,180946,sgca-1
186216,chrX,13606325,13606824,500,+,186216,F54B11.9
172031,chrI,4279578,4280077,500,-,172031,Y47D9A.5
178668,chrV,1871700,1872199,500,-,178668,T10B5.4
178864,chrV,4730107,4730606,500,-,178864,tig-2
174318,chrII,8184894,8185393,500,+,174318,cct-1
180703,chrX,4286455,4286954,500,+,180703,cka-2
181217,chrX,10069726,10070225,500,-,181217,ZC373.4
178922,chrV,5404854,5405353,500,+,178922,dmsr-7
182011,chrV,8754448,8754947,500,+,182011,B0507.4
185888,chrI,3964181,3964680,500,-,185888,F47B3.5
188109,chrII,11256564,11257063,500,+,188109,T05B9.2
173852,chrII,4943937,4944436,500,-,173852,mdt-4
178870,chrV,4800634,4801133,500,+,178870,R02F11.1
181302,chrX,11125493,11125992,500,-,181302,alr-1
188912,chrIII,6464672,6465171,500,+,188912,nduf-2.2
189445,chrV,18790535,18791034,500,+,189445,nhr-231
175508,chrIII,3926099,3926598,500,-,175508,ZK1058.9
184747,chrV,15528850,15529349,500,+,184747,srh-276
179021,chrV,6374917,6375416,500,-,179021,F13H6.5
174612,chrII,10466456,10466955,500,+,174612,tnc-2
179363,chrV,9713553,9714052,500,-,179363,F40F9.10
181796,chrIV,17490462,17490961,500,-,181796,nas-6
176275,chrIII,9005873,9006372,500,-,176275,rab-6.1
181199,chrX,9851675,9852174,500,+,181199,lec-7
171988,chrI,4031630,4032129,500,-,171988,unc-73
183546,chrX,8210745,8211244,500,-,183546,cdd-1
174938,chrII,12954645,12955144,500,-,174938,Y38F1A.1
185632,chrII,6749475,6749974,500,-,185632,F41G3.10
183524,chrI,5043056,5043555,500,-,183524,C46H11.7
189332,chrI,2853799,2854298,500,-,189332,W10C8.4
178144,chrIV,12056620,12057119,500,-,178144,K08E4.2
172130,chrI,5047994,5048493,500,-,172130,phat-2
183714,chrX,4279189,4279688,500,-,183714,twk-28
177868,chrIV,10046887,10047386,500,+,177868,T04B2.3
172096,chrI,4792477,4792976,500,-,172096,zig-7
176429,chrIII,10152257,10152756,500,+,176429,nac-3
173521,chrII,1438017,1438516,500,+,173521,Y51H7C.3
186578,chrI,5518567,5519066,500,-,186578,F59A3.7
174359,chrII,8508915,8509414,500,-,174359,T13H5.1
184067,chrIV,10227594,10228093,500,-,184067,F01G10.6
186761,chrX,6782719,6783218,500,+,186761,H22K11.3
183240,chrIII,4874716,4875215,500,-,183240,C35D10.12
185270,chrII,8241987,8242486,500,+,185270,nlp-5
184757,chrX,10176678,10177177,500,+,184757,ncs-4
191958,chrII,7463571,7464070,500,-,191958,sro-1
179722,chrV,12583317,12583816,500,+,179722,E02A10.3
180538,chrX,2294242,2294741,500,+,180538,T10H10.2
178109,chrIV,11748718,11749217,500,+,178109,T12A7.6
185135,chrX,17533990,17534489,500,-,185135,F31A3.3
172834,chrI,9808395,9808894,500,+,172834,ncx-4
184211,chrX,11310159,11310658,500,-,184211,F08G12.5
181245,chrX,10406156,10406655,500,-,181245,gur-3
191699,chrII,13703308,13703807,500,+,191699,kqt-3
191622,chrV,5324601,5325100,500,-,191622,ceh-33
